리뷰,별점
존 윌리엄스 당신은 위대한 천재 음악가 입니다존경합니다 최고의 명작,10
다시 한번 더 보고 싶은 영화,8
스피디한 전개 좋았어요그리고 애플과 인스타 광고 보는것 같은 느낌 ㅋ,8
기대했던 마블영화인데 퀄리티가 많이 떨어져서 엄청 아쉬웠어요.,4
이용철평론가 너무하네,4
웃음과 감동이 적절했어요,10
진짜 박성웅 이이경 요즘 핫한배우들로 왜이런영화를... 그 박성광이 개콘에서 막장찍는 그컨셉생각남..  여기서 멧돼지들 출동시켜!! 시작하자마자 한번하자고해!!! 기대가커서그런지 실망이너무큼. 개콘 개그맨들 나온것도 우정출연이라 그런가보다하겠는데.... 진짜 돈아까웠음.걍 긴 개콘콩트보는느낌.,3
역시  믿고  봅니다ost도  듣기좋네요,10
재밌고 맛있노 즐겁노 하하하,10
킬링타임용? 다른영화 추천,4
전종서님 연기만 좋았다 나머진 다후짐 ㅜㅜ 하 내돈,4
마지막 한방을 위해 초중반까지의 지루함이 너무길다 중간 보다가 포기,5
"워낙 감독님 작품을 좋아하는 것도 있고 소설로 한 번 읽고 봐서 그런가 확실히 더 재밌었던 것 같아요.작화나 연출은 더 말해봐야 입만 아프고 더 써봐야 손만 아픕니다. 역시 빛의 마술사 신카이마코토지금 한 3회차 정도 했는데 다시 볼 수록 보지 못했던 작은 요소들도 눈에 들어오면서 색다른 재미를 주고, 도쿄 부분의 연출은 다시 봐도 숨을 죽이고 보게 될 정도로 웅장했습니다..ㅠ 이때 스즈메가 재난재해로 사람들을 잃고 싶지 않아하는 모습이 잘 드러나면서 더 슬펐던 것 같아ㅇ....ㅠ",10
평점에 속아서 봤음. 제2의 클레멘타인인가,1
가슴 아프고 적나라한 얘기를 매우 현실적이고 담백하게 그려낸 수작이다. 잭슨과 맥커너히 두 배우의 명품컬라보레이션!!,10
"포레스트  휘태거 배우의 묘한 아우라가 인상적인 영화. 착한 사람도 한방 욕심내면 인생 조짐. 니콜 키드먼이 고사했다는 마미역은 근육질의 조디포스터 아줌마가 하길 잘한듯. 모델과 바람피는 남펀,  해머들고 설치는  이미지가 여신 니콜 키드먼에겐 상상이 안됨.",10
웅남이♡♡♡넘 재밌게 보구 왔어요재미랑 감동 둘다 잡은듯 ㅎㅎ웅남이2 나오는거 아니냐구욧!!!♡♡,10
신고,10
너무 웃겨요 보시면 후회 안 할 겁니다~강추요,10
편하게 잼있게 봤어요 연기는 참 잘하네요,8
신고,10
광기에 응답하는 또다른 광기,8
신고,10
벌써부터 영화감독 박성광의 두번째 메이져 영화가 기대된다,10
킬링 타임으로 괜찮은듯 소소한 웃음 포인트도 ok,10
최고에요 진짜로 감동입니다,10
최고여써요ㅠㅠ 또볼거야,10
결혼이후 첨으로 잼있게 봤어요!참고로 신세계다음해 결혼하였습니다!웅남이 천만가즈아!,10
신고,10
스토리 정말 좋앗어요 저는!!영상미는 말할 것도 없도 또 보러 갈 예정입니다!!,10
적극 추천요~,10
^^,10
"할리우드, 미국 영화지만 전종서(배우) 출연부분",10
그가 영화로 사람을 움직일 수  있다는 것을 어떻게 알게 되었는지 이 영화를 보면 알 수 있다.,9
"정말 영화 따뜻하고 감동적입니다.스필버그의 유년시절을 잘 표현하고 있네요!따돌림, 존포드 감독을 만났던 이야기 그리고 얼마나 자신이 좋아하는 것을 잘 밀어줬던 가족이야기 외 부모의 이혼 등등 사적인 개인사를 잘 연출하고 사려깊게 드러냈다고 봅니다.",9
본 영화 중에 제일 많이 운 영화.,10
웅북이 멋지다~,10
드라마 모범택시 보다 못하다는....,4
"솔직히 기대하지 않았는데 엄청 기대 이상!굉장히 잘 만들었다는 생각이 듬. 벅차오르는 감동과 잘 짜여진 스토리와 연출, 말할 필요도 없는 작화, 묵직한 메시지.너의 이름은과 비견할 만한, 아니 어쩌면 그보다 더 발전된 영화일지도..",10
웃고 싶으시다면 추천드려용~~,10
울면서 봤어요..보는내내 얼마나 화나는지..휴,10
부모님들이 좋아할만한 영화같아요~ 부모님 예매해드리려구요!,10
슬플때 혼자울고싶을때 펑펑울게해주는...,10
코미디라지만 웃기지도않고 스토리도 게연성이없네요 보지마세요비추입니다,1
즐거운 시간보냈습니다,10
말봉이 귀여워ㅋㅋ,10
너무 쟈미없네요 개콘인줄..,2
생각없이 보기 정말 좋은 영화입니다 ㅋㅋㅋ 여러번 봐도 늘 빵터져요 ! 강추!!,10
가볍게 보기 좋아요ㅎㅎ최민수 카리스마는 역시 짱!!,8
신고,8
갈수록 무슨 스토리인지 몰겠어서 졸려서 잤음 처음40분까진 괜찮음,6
영화  재미있게 잘봤습니다,10
그냥저냥 하는 영화겠지하고 봤는데 생각보다 너무재밌어서 놀랐습니다 오랜만에 영화보면서 웃고왔습니다 친구랑봤는데 가족끼리 봐도 너무 좋을것 같아요 코믹영화 강추드립니다!,10
아. 평점에 낚여버렸어 ㅠㅠ,1
잘보고 갑니다~ 내용없이 1점씩 남기는 사람들...;; 10점드리고 갑니다,10
나도 모르게 터져 나오는 웃음에 나도 놀랐네,10
재밌었음 기대이상입니다,10
기대안하고 갔는데 스토리랑너무 재밋고 웃겨요 ㅋㅋㅋ,10
재미도 이야기도 애매하네요.,6
보는 내내 숨이 턱턱 막혔다,10
유쾌하긴 하지만 빈약한 내용,6
하진짜 .... 말안한다,2
이영화 나오기까지 수고한분들께는 미안하지만.   아깝습니다. 시간과 돈이..ㅜㅜ,6
재미있게봤습니다.가짜아기는 좀 아닌거같아여,10
박성웅님 멋집니다,10
감독이 이번 영화는 자신 없다고 했는데 진짜 별로였음 마지막 문 찾으러 가는데만 2~30분 잡아 먹은 거 같은데 너무 루즈 했음.,7
길을 잃은 당신을 위한 가장 벅적한 위로.,9
큰딸이 좀 발암 캐릭터지만 재밌게봤네요.,8
"부모님께 끌려가듯 다녀왔는데 생각보다 재미있었어요!!  부모님이 재미있다고 좋아하시네요ㅎㅎ 소재는 참신하다 느꼈어요!! 평론가 평점 너무 안좋아서 시간 아까울줄 알았는데, 이런 장르 영화중에서는 마음에 들었어요. 그리고 배우분들 연기가 아주 볼맛납니다",10
다들 빵빵터졌음,10
풍경이 사실적이기도하면서 몽환적인게 너무 좋음,10
엄근진하지마세요.... 웅남이 1점은 아닌데요? 전 평균이지만 1점충들땜시 10점갈게요,10
개인의 신념에 대한 고찰,8
와 진짜 알바들 너무하네 난 진심 보고나와서 쓴다. 유치하고 재미없고 진짜 돈 그냥 버린 기분. 박성광 개그맨으로는 팬인데 다신 영화하지말길. 같이 간 애들 다 어어없어함,1
이 세상 모든 써니들을 위하여~,10
너의 이름은은 몰입도 ost가 좋았고 얘네 뒷얘기가 좀 궁금한 여운도 남았는데극장에서 볼정도는 아니고  그냥 닉값 함 진짜 문단속만 하고 끝남 차라리 여주혼자 문닫고 나왔어야 여운남았을텐데,6
재밌게보고 돌아갑니다 2번째 연출작은 더 힘내세요,10
너무 재밌게 봤어요ㅎㅎ,10
소설에 나오던 부분이 없어서 인지 중간에 뜬금없이 나오는 기억법애기가 이해안되고 소설이  오히려 더 슬픈것같음,6
가볍게 부담없이 웃으면서 보기 좋아요!! 진짜 많이 웃었네요,10
너무 지루해서 영화보며 폰 하고 있어요. 블로그에 줄거리라도 읽어야 이해가 될 듯.,2
눈물... 오스티만 들으면 머리가 아파요.. 아시타와하레루요,10
재미있어요,10
굳이 예민한 지역감정을 건드리자면 전라도출신이랑 북한출신이랑 누가 더 많이 삐지고 뒤통수치다 후회하는지 보여주는 실험같은이야기 남자아이가 성인이 되는것은 기적이다,6
올해 본 영화 중 최고네요!,10
"장연 전환,연출 이렇게 어색한 영화 솔직히 태어나서 첨봤다..",2
솔직히...너무 재미 없었어요...ㅠㅜ배우들이 워낙 좋은 배우들이라 내심 기대했는데...개연성도 너무나 부족하고 뭔가 억지로 웃긴 포인트를 만들려고 노력한?암튼 저랑 신랑은 너무 재미없었어요....,1
이게 왜 혹평 인지 알수 가 없네요보는동안 웃고 온 영화 간만에 좋은 영화,10
댓글 알바 개 많네 엄마랑 같이 봤는데 주무시더라ㅋㅋ,2
넷플릭스아님 안봤다젠장...,2
예상외의 감동 생각보다 유치하지않고 잼났음,10
신고,10
혹시나 했는데 역사나 재미있었다,10
다들 일본애니에 안되는데 웅남이로 이겨보자!! 화이팅!,10
취권오랜만에보니깐잼썻서요,10
웅남이 영화팀께는 정말 죄송합니다만. 코미디 영화라면 정말 조금이라도 확실히 웃기는 장면은 최소한 한두컷은 있어야할듯한데. 아쉽지만 재미없고 억지가 많았어요,4
Goat...슬램덩크,10
보는내내  마음이 무겁고  ㅜㅜㅜㅜ생각을마니하게 되네요,8
라스 나온 거 보고 재밌을 거 같아서 예매함난 좋던데ㅋㅋ 오랜만에 올드한 개그 보니깐 웃었음요새 억까 개그들 보다가 이거 보니깐 좋네~,8
과한부분이 있지만 코믹이라 어울린다~ 1점이 너무 많아서 내 의견은 그 반대,10
나도 모르게 크게 터져 나오는 웃음,10
재미는 한개도 없고 화면은 이쁨.사실 뭐 어떤 의미가 숨어있고.. 함축된 것들이 있고 이런게 의미가 있으려면 결국 영화가 재미있어서 계속 생각하게 만들고 다시 보고싶게 만들어야되는데 그냥 재미가 없음. 묶어놓고 보게 만들면 눈감을듯.화면 자체는 예쁘다고 하는데 별로 그런거에 감동 안받는 사람이라면 안보는게 나음. 아바타 2마냥 지루하고 화면 예쁜 영화임.옛날에 너의이름은 상영관에서 아침햇살 마셨던 그 사람들은 좋아할듯.,1
"영상미는 처음부터 끝까지 넘 아름답고, 지진을 테마로 한 판타지한 세계관이 흥미진진하고 재밌었고 OST도 넘 훌륭함",10
별기대없이 봤는데 유치하면서도 시끌벅적하고 cg도 많이들어가있고 시간보내기 좋은듯. 그냥 영화가 딱 샤잠같았음,6
재밌었고 평처럼 나쁘지 않았어요 뭐가 그렇게 다들 화났는지 모르겠네요 ㅎㅎ,10
스필버그는 영화 그 자체다,9
가족들과 휴가라  방금 영화보고왔어요  아무생각없이 밈껏 웃고 즐길수 있는 영화라 너무 재밌고 은근히 감동도 있었아요^^ 특히 배우님들 연기는 최고고  박성웅 배우님 은근히 시링스럽고 귀여우셨어요  머리가 복집할때 꼭 한번씩 모두 보시면 너무 좋을거 같아요^^,10
확실히 아쉬운 부분이 많았다.너무 웃기려고만 하다보니 영화를 보다 애쓴다는 느낌이들긴했다 장면마다 자연스러운 웃음이 아쉬웠다.,4
와.. 이 좋은 배우들을 이렇게 비빔밥으로 만드는구나..,2
잘 봤습니다~~감사합이다~,10
그냥 봐봐요골때리게재미있어요,10
어제 만든 영화 같음.. 40년 전이라니 믿기지가 않아요,10
요즘 볼게 없어서 고민이였는데 웅남이는 탁월한 해결책!,10
300의 제라드 버틀러 생각하고 본다면 실망하게 된다,6
영화가 통째로 어떤 감정일때,8
너무 웃겨요,10
말봉의 활약이 좋았습니다 액션신 굿!,10
박성웅씨는 친분으로 출였했다가 본인필모에 지우지 못할 흑역사를 남김.  영화배우가 작품을 보고 출연을 결정해야지.. 나원 참,1
"""비트코인"" ㅋㅋㅋㅋ 이름 선점 작살...",10
"영상미, 스토리, OST, 전달하고자 하는 메세지 모두 훌륭했다.",10
마지막10분정도 감동적이었나 영상미가 좋았네요,8
오전에 보고 왔는데 킬링타임용 정도는 됩니다 하도 1점이 많아서 10점 남겨요!,10
정말 대단하네요. 파이팅!,4
웃다가 왔네요.,10
신카이 마코토의 갬성!,8
너무 짜깁기 티가 나서 별로임,7
이렇게까지 잘 만들줄은...,10
생각보다 볼만합니다^__^,10
고석진 감독이 제작보고회 영상에서 언급한 영화 제목이었던 기생령의 의미를 기생귀신이라고 부릅니다.  이형석이라는 배우가 좋았습니다,10
내용이 이해가 안가고 뭐죠? 이영화?,2
이정도면 박감독님 연출잘했음,10
재밌어요~~~코미디 영화로 요즘시대에 보기 좋아요!,10
이런 한국 코미디 영화 많이 나왔으면 좋겠어요ㅜ,10
그림 구경은 잘했던 것 같아요 영화가 좀 아쉽습니다,4
인생 영화. 범죄자 미화 이런 이야기 말고. 그냥 연기자들의 연기만 보자. 정재영 연기 너무 잘한다.. 눈빛으로 말을한다. 표정으로 모든걸 전달한다. 하.... 최고다.,10
너무 웃겨요 보시면 후회 안 할 겁니다~강추요,10
마지막에 대사가 너무 마음을 울렸어요~중요한 선택을 할때 어떤 결정을 해야하는지 느꼈고 즐겁게 봤어요,9
리메이크 작품인데 우리나라에 맞게 잘 표현됐다.성인이 된 후로 접하게 되는 고민들이 현실 반영이 잘 되어서 더 몰입해서 보게 됐다.,8
나올때 적어도 웃음은 지어짐!,10
스토리는 80년대 느낌이구먼유나만 당할수 없다  ~꼭 보세요박성웅님. 최민수님  정장모습이나액션씬만 볼만해여,6
배우들 연기는 좋은데 내용이  너무 유치....,6
성웅형님 신세계 이후 오랜만에 대박나시길 바랍니다! 잘봤습니다,10
웃음 주는 영화~~,10
cg로 평생 볼 거미 다 본다.,2
신고,10
신고,1
우정이란.추억이란.삶이란.,8
말도 안되는 악플테러에 10점을 누를수밖에 없네요;;,10
영화를 위한 영화.,9
"생각보다 지루했어요 ㅠㅠ,,",4
저는 1점은 아닌거 같음... 하지만 10점도 아닌거 같음... 괜찮게 봤어요,9
순수한 힘을 지닌 주인공의 사회로 나아가는 여정의 시초.설렘과 두근거림의 음악적 표현.빨갛게 물든 달처럼 물들여질 전종서 배우의 할리우드 첫 진출작.,5
...,1
승리한 삐에로는 우릴 보고 웃지.,7
관객들이 감동할만한 하이라이트구간을 쉴 새없이 퍼부어 감동이 식을 순간이 없었다.,10
이게 15세는 아닌거 같지만 볼만함,6
영상미는 잘뽑았는데 초능력 이용으로 스토리 진행도 아니고 그냥 뭐를 보여주려는지 모르겠음,6
여기 10점 아니면 1점 남기는거죠?ㅋ 전 6~7점 생각하는데 선택지가 없는 리뷰판이라 10점누릅니다,10
너무 재미있게 봤습니다 ㅎㅎ  센스있는 전개에  연기잘하는 배우들,10
철학적인 내용을 코믹과 액션으로 연출했다.,10
신고,10
날것으로 불편하지만 잘만든 영화,7
이번주는 웅남이로 정해쓰~,10
박성광 감독 데뷔작품의 연출과 스토리가 훌륭했습니다.,9
내게는 너무 어려워 상견니 ㅠㅠ,6
믿고보는 와싱턴행님 역시,10
그 평론가는 인생을 살아보기는 했을까?그 평론가는 사는게 만만해 보였을까?,8
좋은 영화 입니다. 눈물이 마르지 않네요.,10
별점 10점 댓글알바 개오바에.. 광고에 알바에 돈은많이썼습니다,2
박성광 첫 영화라서 힘내라고 2점 줍니다...진짜 좀 유명한 감독의 영화였으면 욕을 한바가지 하고 싶은데... 처음이니까 끝까지 보고 나왔습니다. 배우구경은 많이 했네요,2
나름 신선하고 몰입감도 있습니다,7
연출 지렸다. 심장이 울렁울렁~~~,8
...,8
긴말필요없음꼭 보삼,10
"아무 기대없이 생각없이 시간 때우기 용으로 봤는데, 생각보다 재밌었음 특히 박성웅이 조폭 연기 하는 장면이 대박압권임ㅋㅋ",7
"호든 불호든 감독님 노력하신게 보입니다. 자기입으로 개그맨출신~, 개그맨출신~#%# 이런거 말안하셔도 됩니다. 당당하게!! ㅎㅎ 스스로 땅굴파지마요!영화 재밋습니다.  무거운내용도 아니고 코믹액션인데 많은내용을 담으려 하지 않은게 전 딱 좋음!",10
"작화는 좋은데 감정선이 급발진하는 면이 있음. 여러번 볼 만한 영화는 아니고, 끝나면 의문점이 수두룩 남는 편 이었다.",4
다들 재밌다네요. 재밌다네요.,10
볼만했어요,6
너무 재밌게 잘 봤습니다 저에게 좋은 영향을 준 영화 감사합니다,10
흥해라흥 너무잼나요,10
여기가 그렇게 만만해보였나?,2
신고,10
최고급 식재료에 마트에서 파는 인스턴트 된장으로 된장찌개 끓인 느낌,2
박성웅 커리어중 최악의작품,2
"ㅈ노잼 ...,,,,",1
연출 스토리 ost다 좋았어요.재미있게 봤습니다~롯데 월드타워19관에서 4d로 봤는데 의자만 흔들흔들 덜컹거려서 멀미날뻔요 ㅋ 혹시해서 안경을 벗었다 썼다 했네요ㅍ화면은 내내 2d였어요.,8
저는 진짜 같이간 일행과 빵빵 터지며 깔깔대며 봣는데요ㅠㅠ 전 진짜 재밌었어요!! 28살이고 자극적 컨텐츠 많이 봐왔고 개콘 재미없어진지 오래였던거 공감하는 사람이지만 혹평하시는분들말을 너무 믿지마세요 웅남이 진짜 간만에 극장에서 웃고 즐기며 봤습니다!!,10
연출 능력과 남녀 주인공의 연기력이 매우 뛰어나네요... / 영화 잘 봤습니다. / 감사합니다.,10
샤잠! 관객의 분노 / 유치함과 노잼은 어디까지인가.,6
영화를 봤을때는 뭔가 싶었지만 해석을 찾아보고 배경을 찾아본뒤 돌이켜보면 명작이 아니라고 할수 없다. 그런 의미로 두번보고싶은 영화,10
자극적인 것만 보다가 이런 평화로운 영화 너무 힐링됨,10
"그냥 이 영화는 배우님덕에 지루하지 않고 잘 봤음.10년전쯤에 나왔으면 먹혔을지도?? 중간중간 피식하긴 했지만 그렇다고 그렇게까지 막 재미있진 않았음.그냥 억지 웃음,억지 감동? 딱 그정도였음.",6
첫 상업영화 연출인만큼 의욕이 앞서는 장면이 좀 있긴 하나 기획과 아이디어는 좋은 코미디 영화였다. 앞으로 더 좋은 감독이 될 수 있을 듯.,6
경기부분만 다시보고싶을정도..,7
스토리로는 승부가 나지 않는데 ost랑 스즈메가 너무 예쁘다,7
메뚜기 사육을 위해 자기 피와 살을 바치는 스웜 류의 영화를 기대했는데 너무나 너무나 정적이었다.,4
감독 바꼈지만 그래도 재밌음,8
신고,10
신고,2
"전종서 연기는 정말 일품이었어요. 찰리의 공항에서의 총명함도 멋지구요. 그것만 기억나요. 더티한게 많이 나와서 그건 불편했어요. 주인공이 미국으로 망명했다는데 북한에서 온건가요? 주인공에 대한 단서(배경스토리)가 너무 없어서 그게 조금 답답했어요. 작품은 감독의 철학이 반영된다는데  뭘담고 있는지, 담으려는지 의문점 투성이네요.",6
완전 최악까지는 아니었는데 모든 전개가 너무 가볍고 장난스럽다. 보통은 진지한 전개속에 코믹한 요소를 넣는 경우가 대부분이고 그렇게 되어야 하는데 이작품은 그냥 코믹스럽게 하려고 다 뭉갠 느낌이었음. 확실히 아쉬운 부분이 많았다.,6
최고의 영화??????????,10
음악 좋고 연기 좋고 아직까지 기억난다.,10
박성광 감독 응원합니다. ^^,10
보는 동안 내내 행복했다 ㅎㅎㅎㅜㅠ,9
1분 보다가 엄청난 것을 보았습니다내가 왜 본거지 연기가 소름...,2
하~~~~ 진짜~~~,1
두 젊은 배우에 연기가 다소 지루해지는 스토리를 커버한다.,8
알바들 파이팅! 극장은 개그콘서트가 아닌데 뭐가 웃기단건지;;; 뻔하고 유치함 ㅠ,2
잔잔한 영화 딱 나스타일의 영화 였어요재밋게 봤어요,10
임영웅의 팬사랑 진심을 볼 수있었고 노래 역시  최고였습니다. 콘서트 현장에 있는거 같은 생동감을 느낄 수 있었고 임영웅이 넘 잘생기고 피지컬도 뛰어나서 깜짝 놀랐음,10
"살고싶다, 앞으로 잘 살거야",8
너무 재미있는데? 개꿀잼 ㄹㅇ 꼭보셈,10
처음에 인트로 나오면서 참새 OST 나올 때 웅장 그 잡채.. 스즈메가 처음으로 쿠기영상도 없는데 앤딩 크래딧 끝까지 다 본 영화입니당. 스즈메는 예쁘고.. 소타는 너무 잘생겼고.. 다이진은 귀엽고.. 소타가 문 봉인할 때 연출 여러번 나왔지만 볼 때마다 소름이 돋았습니다.. 너의 이름은.보다 더 재밌었고 여운이 진짜 많이 남았습니다!! 의자로 변한 소타 눈 때문인지 귀여웠고 울컥했지만 가족들과 봐서 울지 못한게 아쉽네요.. 내일 친구랑 또 보러 갑니당!!!!,10
그냥 보러갔다가 너무 재밌게 잘 보고 왔습니다,10
다시 봐도 슬프다....,10
얜 진짜 영화를 만만하게 본게 맞는거같다,1
솔직히 개그맨이 뭐 얼마나 영화를 만들겠냐 하고 그냥 봤는데 이거 은근히 재밌더라고ㅋㅋㅋ여러분들 무시하지말고 일단 한번 봐봐요~,10
정녕 그대는 나의 사랑을 받아 줄 수가 없나. 나의 모나리자 모나리자,6
재밌게 잘 보고왔습니다,10
저는 완전 재미있게 봤어요,10
인생영화네요 집에갈때 배꼽챙겨가세요,10
너의 이름은 생각하시고 보면 아주아주 큰 실망 하실겁니다....ㅠㅠ내 돈 내 휴가...넷플이나 업뎃 되면 공짜로 보세요...,1
왠만한거보단... 배우들보는재미있음 ㅋ,10
기대를너무했나봅니다ㅠㅠott나오면볼까기다리다가너무보고싶어봤는데예고편이다인것같아요,6
솔직히 기대없이 봤는데 너무 유쾌하고 재밌게 잘 봤어요가볍게 깔깔 웃고 싶다면 꼭 보세요~~웃음포인트 많아요!!연기력들도 다들 좋아서 모든 배우들이 다 주인공같아용~,10
아쉬운 부분도 있지만 6점대는 너무 낮은 것 같음 7.5정도가 적당해보임 나름 신선하고 재밌음,10
재밋었음 채피가 하는 행동이랑 스토리가 좋았음 신박하고,10
완죤완죤 재밌어요 웃깁니다,10
"보기 전에 내용만 보고 불륜 미화 내용 아닌가라고 생각한 제가 부끄러워질 정도였어요 영상미와 스토리 연출, 배우들의 연기가 영화 안으로 끌어당기는 기분이었습니다. 오랜만에 너무 좋은 영화를 발견한 것 같아서 좋아요! 외설이 아닌 예술로 보이는 영화는 처음인 것 같아요",10
"에바에요., ....",2
"따뜻해요, 배우분들 연기도 좋았고 우정에 대해 생각해볼 기회가 되어준 영화인 것 같습니다",9
전종서의 연기가 인상깊었지만 스토리는 그닥 흥미롭진 않은 것 같다.,6
재미 있는데 왜 평점이 낮을까요,10
재미없네 저 좋은 배우들을 출연시키고도.. 안타깝다,2
뜬금없는 노출씬만이 남한만의 특색.. 북한선전영화랑 수준이 비스무리..국방부의 위력이 느껴지는 캐스팅.ㅋ,2
화려해서 보기에 좋았어요.,9
마음을 울리는 따뜻한 영화였어요.,9
완전 재밌어요ㅋㅋㅋㅋ많이 웃었네요~~ 웃고 싶으시다면 추천드려용~~,10
볼거리가 많아서 재미있었어요.,8
노잼이에요 평점 조작하나요? 왜케 높아요?,2
내 첫사랑은 너였어 지난 좋은 날을 선물해준 네게 고마워,10
그냥저냥 무난했어요.,7
기대없이 봤는데 재미있었어요,8
스마트폰을 하루종일 쳐봤을 뿐인데,8
스토리는 정말 평범한데 배우들이 연기를 잘해요.,7
올해 본 영화 중 최고로 웅장했던 영화 너무 감동적입니다.,10
시간이한참 흐른뒤에 보니 출연진들 거의 현시대  신스틸러들당시 캐스팅 정말 잘한듯. 연기도 연출도 모두 만족스러워요 또 봐도 될듯,10
우정에 대해 생각해볼 수 있어요.,9
액션이 많아서 볼 만 했어요.,8
기대 많이했는데 아쉬워요.,7
한 편의 문학작품. 마지막 장면에서는 온몸에 전율이 흘렀습니다. 이런 영화가 많이 나왔으면 좋겠네요.,10
영상미가 좋아서 만족했어요.,9
스즈메가 소타를 만나자마자 인연이 되는게 어색했어요.. 왜 갑자기? 란 의문이 풀리지 않다보니.. 영화가 끝날 때까지 감정보다는 의문이 계속 상승하는 느낌이랄까요. 이모(가족)는 신경도 안쓰면서 소타(남)는 왜 그렇게 매달리는거지? 잘생긴 남자..라서?그럼에도 마지막 씬에서는 눈물을 흘리지 않을 수 없었어요ㅠㅠ 나는 너의 내일이야...ㅠㅠ돌비시네마에서 관람하길 잘했다고 생각합니다.지진 사운드가 엄청 리얼했어요,5
생각보다 더 재미있었어요.,8
날씨의아이보단 재밌음,9
역시는 역시다. 오랜만에 상영 시작 부터 끝까지 이렇게 몰입감 있게 본 영화가 없었다,10
"영화가 끝나면 말하게 된다. ""또 보고 싶다.""",9
멍뭉이나 웅남이나 어떤님들이 평점이리높게잡나... 알바생들인가 유치하기 짝이없네,4
연기가 좋아서 볼 만 했어요.,8
볼만하긴한데 냉정하게 극장에서 볼 영화는 아닌 것 같습니다.,7
스토리 별로예요 재미 없음,4
배우들 연기도 좋았고 내용도 재밌었음,10
다들 웃음에 관대하네OOO기,1
웅남이 맘에듬,10
"실존주의의 대한 진지한 고찰 콜름은 가면을 쓰고 다른 사람들의 평판을 통해 좋은 사람으로 인정받길 원하는 파우릭이 지겹고, 파우릭은 갑자기 변한 콜름이 이해되지 않는다 결국 파우릭은 다른 사람이 좋아했던 가면 쓴 자아를 불태우고, 진짜 자아를 찾게 된다 그러자 가면쓴 자신을 좋아했던 사람들은 곁을 떠나고 진짜 친구인 콜름은 다시 파우릭과 친구가 되길 원한다 이니셰린에서 첫번째 죽음은 도미닉의 자살이고, 두번째 죽음은 파우리의 페르소나가 불태워져 사라진 것이다",8
마음 따뜻한 스토리에요,10
적극 추천요~,10
이이경님 코믹연기 소질있네요ㅎㅎ,10
과함은 부족함만 못하다..그게 종교라면 더더욱,1
음...아닌거같아요 이건..,1
나름 이번에 관객수 선방할듯~,10
아침에 조조로 봤는데 올해 최고에 영화입니다 진짜 ㅜㅜ 너무 웃겨서ㅓ 그리고 액션도 크..진짜 추천 해요 슬램덩크 보다 좀 더 재밌어용,10
살인사건에서 사형까지 리얼한 연출,6
